name,num_runs,rmse_mean,rmse_median,rmse_min,rmse_max,rmse_last,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
spot_indoor_building_loop_daac_depth_opt_w500,10,0.3281868,0.3295145,0.314681,0.337837,0.337837,0.316073,0.336917,0.322942,0.336694,0.314681,0.322724,0.327377,0.334971,0.331652,0.337837
spot_indoor_building_loop_daac_rgd_inv,10,0.24291169999999998,0.242761,0.242761,0.244268,0.242761,0.242761,0.242761,0.242761,0.242761,0.242761,0.242761,0.242761,0.242761,0.244268,0.242761
spot_indoor_building_loop_daac_rgd_metric,10,0.2845079999999999,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508,0.284508
spot_indoor_stairs_base,10,10.5087175,10.5087175,10.508712,10.508723,10.508712,10.508723,10.508712,10.508723,10.508723,10.508723,10.508712,10.508712,10.508712,10.508723,10.508712
spot_indoor_stairs_daac_depth_opt_log_mahalanobis_w30,10,731.2621740000001,793.8253635,0.213976,917.751268,809.470798,832.890153,787.278159,791.467189,796.183538,821.475001,917.751268,0.213976,784.26249,771.629168,809.470798
spot_indoor_stairs_daac_depth_opt_log_w100,10,611.7052456,684.19742,21.932323,818.927942,21.932323,578.725673,687.296785,579.162725,818.927942,713.701923,703.893169,721.575177,681.098055,610.738684,21.932323
spot_indoor_stairs_daac_depth_opt_mahalanobis_w100,10,19.2436978,21.205727500000002,0.213764,26.724378,0.213764,21.38507,14.533114,17.905505,24.093627,21.026385,23.250329,23.483911,19.820895,26.724378,0.213764
spot_indoor_stairs_daac_depth_opt_mahalanobis_w1000,10,143.6633398,20.863637,14.376817,661.976521,21.37599,20.787762,19.941509,20.845299,21.153484,20.881975,14.376817,615.994372,19.299669,661.976521,21.37599
spot_indoor_stairs_daac_depth_opt_mahalanobis_w500,10,91.3054651,24.382345,0.132982,705.68311,34.976842,35.208886,705.68311,19.652996,28.155757,20.608933,20.320341,28.404281,19.910523,0.132982,34.976842
spot_indoor_stairs_daac_depth_opt_w100,10,23.816887200000004,27.132826,0.281452,29.337642,28.703135,24.644326,23.986912,26.975807,21.309928,0.281452,29.337642,27.771996,27.289845,27.867829,28.703135
spot_indoor_stairs_daac_depth_opt_w1000,10,689.3112733,706.9316275,600.866638,750.67872,710.00629,611.167766,750.67872,703.856965,725.279965,731.013391,600.866638,666.26038,676.839492,717.143126,710.00629
spot_indoor_stairs_daac_depth_opt_w500,10,167.13913970000002,27.1694195,20.623187,762.487171,31.17446,698.194196,30.099709,20.623187,26.906863,25.436129,762.487171,27.431976,25.942156,23.09555,31.17446
spot_indoor_stairs_daac_rgd_inv,10,6.230485800000001,6.895057,0.249345,6.895057,6.895057,0.249345,6.895057,6.895057,6.895057,6.895057,6.895057,6.895057,6.895057,6.895057,6.895057
spot_indoor_stairs_daac_rgd_metric,10,12.5368764,12.536951,12.536276,12.536951,12.536951,12.536951,12.536951,12.53688,12.536951,12.536951,12.536951,12.536951,12.536951,12.536276,12.536951
spot_indoor_stairwell_base,10,0.48891640000000003,0.490652,0.475629,0.501336,0.475629,0.479968,0.501336,0.475629,0.501336,0.501336,0.475629,0.501336,0.475629,0.501336,0.475629
spot_indoor_stairwell_daac_depth_opt_log_mahalanobis_w30,10,0.4762957,0.39208600000000005,0.382766,0.637956,0.389882,0.394189,0.389028,0.626394,0.389983,0.387459,0.382766,0.636452,0.637956,0.528848,0.389882
spot_indoor_stairwell_daac_depth_opt_log_mahalanobis_w50,2,0.508028,0.508028,0.343766,0.67229,0.67229,0.343766,0.67229,,,,,,,,
spot_indoor_stairwell_daac_depth_opt_log_w100,10,3.7091956,0.3704495,0.225733,33.903667,0.371152,0.371042,0.369828,0.368425,0.370822,0.225733,33.903667,0.37171,0.3695,0.370077,0.371152
spot_indoor_stairwell_daac_depth_opt_mahalanobis_w100,10,0.6685003,0.6923445,0.419401,0.716361,0.419401,0.713126,0.686852,0.67351,0.714774,0.662745,0.697837,0.716361,0.685585,0.714812,0.419401
spot_indoor_stairwell_daac_depth_opt_mahalanobis_w1000,10,0.39459310000000003,0.3942675,0.388459,0.401368,0.397116,0.388931,0.398659,0.393543,0.390683,0.394992,0.388459,0.393047,0.399133,0.401368,0.397116
spot_indoor_stairwell_daac_depth_opt_mahalanobis_w500,10,0.34123810000000004,0.34109900000000004,0.338598,0.343483,0.338598,0.341571,0.342905,0.341189,0.341714,0.341009,0.340835,0.343483,0.340784,0.340293,0.338598
spot_indoor_stairwell_daac_depth_opt_w100,10,0.3319571,0.33122799999999997,0.328448,0.338555,0.332347,0.330966,0.329879,0.331105,0.334211,0.338555,0.328448,0.331351,0.330855,0.331854,0.332347
spot_indoor_stairwell_daac_depth_opt_w1000,10,0.6023465000000001,0.602531,0.584027,0.622854,0.596096,0.616655,0.607913,0.610216,0.591146,0.622854,0.584027,0.611867,0.597149,0.585542,0.596096
spot_indoor_stairwell_daac_depth_opt_w500,10,0.41769160000000005,0.41771800000000003,0.41292,0.422329,0.419542,0.415502,0.416381,0.419758,0.422329,0.416833,0.416369,0.418679,0.41292,0.418603,0.419542
spot_indoor_stairwell_daac_rgd_inv,10,112.9694711,56.028826,52.670082,488.817136,52.670082,488.817136,52.670082,56.028826,52.670082,206.081943,56.028826,52.670082,56.028826,56.028826,52.670082
spot_indoor_stairwell_daac_rgd_metric,10,1.1000632,1.119808,1.070446,1.119808,1.119808,1.070446,1.119808,1.119808,1.119808,1.070446,1.070446,1.119808,1.119808,1.070446,1.119808
spot_outdoor_day_penno_short_loop_base,10,0.5138309999999999,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831,0.513831
spot_outdoor_day_penno_short_loop_daac_depth_opt_log_mahalanobis_w30,10,0.5322946999999999,0.5317375,0.507522,0.548968,0.507522,0.530815,0.548968,0.54583,0.534135,0.53266,0.526389,0.522656,0.526929,0.547043,0.507522
spot_outdoor_day_penno_short_loop_daac_depth_opt_log_w100,10,1.0126760999999997,0.994208,0.901142,1.191723,0.99186,1.191723,0.996556,1.170943,0.901142,0.913282,0.917602,0.942638,1.027997,1.073018,0.99186
spot_outdoor_day_penno_short_loop_daac_depth_opt_mahalanobis_w100,10,0.5710921999999999,0.5710869999999999,0.569208,0.572686,0.569947,0.569208,0.571919,0.572174,0.570732,0.572686,0.571745,0.571402,0.570337,0.570772,0.569947
spot_outdoor_day_penno_short_loop_daac_depth_opt_mahalanobis_w1000,10,0.5937677,0.5941755,0.58522,0.599884,0.590343,0.590602,0.597466,0.58522,0.59406,0.599884,0.597981,0.594291,0.591215,0.596615,0.590343
spot_outdoor_day_penno_short_loop_daac_depth_opt_mahalanobis_w500,10,0.5112285,0.5116275,0.493954,0.519505,0.507697,0.516813,0.510461,0.509686,0.512794,0.514254,0.493954,0.51677,0.510351,0.519505,0.507697
spot_outdoor_day_penno_short_loop_daac_depth_opt_w100,10,1.0418763,0.52532,0.521125,5.693218,5.693218,0.524255,0.525251,0.524127,0.521125,0.527249,0.525389,0.523085,0.528641,0.526423,5.693218
spot_outdoor_day_penno_short_loop_daac_depth_opt_w1000,10,0.7024664,0.7021375000000001,0.655374,0.729647,0.691218,0.655374,0.702011,0.698352,0.701107,0.702264,0.729647,0.707453,0.710698,0.72654,0.691218
spot_outdoor_day_penno_short_loop_daac_depth_opt_w500,10,0.5294035,0.5134099999999999,0.505646,0.672087,0.508413,0.517592,0.509175,0.505646,0.510527,0.513574,0.524379,0.672087,0.513246,0.519396,0.508413
spot_outdoor_day_penno_short_loop_daac_rgd_inv,10,0.8565805999999998,0.856443,0.856443,0.856787,0.856787,0.856787,0.856787,0.856443,0.856443,0.856443,0.856443,0.856787,0.856443,0.856443,0.856787
spot_outdoor_day_penno_short_loop_daac_rgd_metric,10,0.6959313999999999,0.689976,0.689976,0.74953,0.689976,0.689976,0.689976,0.689976,0.689976,0.689976,0.689976,0.74953,0.689976,0.689976,0.689976
